index,date,time,cluster_size,address,day_type
0,2023-05-28,08:01:00,1,Capella Hotel,weekend
1,2023-05-28,08:02:00,1,Capella Hotel,weekend
2,2023-05-28,08:03:00,1,Sentosa Gateway,weekend
3,2023-05-28,08:09:00,2,Capella Hotel,weekend
4,2023-05-28,08:10:00,1,Gateway Avenue,weekend
5,2023-05-28,08:10:00,2,Capella Hotel,weekend
6,2023-05-28,08:11:00,2,Straits of Singapore,weekend
7,2023-05-28,08:11:00,1,Southern Islands,weekend
8,2023-05-28,08:12:00,1,Straits of Singapore,weekend
9,2023-05-28,08:12:00,1,Southern Islands,weekend
10,2023-05-28,08:13:00,1,Straits of Singapore,weekend
11,2023-05-28,08:18:00,1,8 Sentosa Gateway,weekend
12,2023-05-28,08:19:00,1,"Sentosa (1.255604, 103.824692)",weekend
13,2023-05-28,08:25:00,1,Sentosa Gateway,weekend
14,2023-05-28,08:26:00,1,Siloso Road,weekend
15,2023-05-28,08:27:00,1,Siloso Road,weekend
16,2023-05-28,08:27:00,1,Artillery Avenue,weekend
17,2023-05-28,08:28:00,1,Siloso Road,weekend
18,2023-05-28,08:28:00,1,Artillery Avenue,weekend
19,2023-05-28,08:29:00,1,"Cable Car Rd, 099694",weekend
20,2023-05-28,08:29:00,1,"Sentosa (1.249483, 103.827381)",weekend
21,2023-05-28,08:29:00,1,Ocean Drive,weekend
22,2023-05-28,08:30:00,1,"Cable Car Rd, 099694",weekend
23,2023-05-28,08:30:00,1,"Sentosa (1.249483, 103.827381)",weekend
24,2023-05-28,08:33:00,1,"Sentosa (1.251074, 103.825700)",weekend
25,2023-05-28,08:34:00,1,Ocean Drive,weekend
26,2023-05-28,08:35:00,1,Ocean Drive,weekend
27,2023-05-28,08:35:00,1,Paradise Island,weekend
28,2023-05-28,08:36:00,1,"Southern Islands (1.250000, 103.847430)",weekend
29,2023-05-28,08:37:00,1,Ocean Drive,weekend
30,2023-05-28,08:38:00,1,Ocean Drive,weekend
31,2023-05-28,08:39:00,1,Capella Hotel,weekend
32,2023-05-28,08:39:00,1,Ocean Drive,weekend
33,2023-05-28,08:39:00,1,Paradise Island,weekend
34,2023-05-28,08:40:00,1,Capella Hotel,weekend
35,2023-05-28,08:40:00,1,Ocean Drive,weekend
36,2023-05-28,08:40:00,1,Paradise Island,weekend
37,2023-05-28,08:41:00,1,Capella Hotel,weekend
38,2023-05-28,08:41:00,1,Artillery Avenue,weekend
39,2023-05-28,08:41:00,1,Ocean Drive,weekend
40,2023-05-28,08:42:00,1,Southern Islands,weekend
41,2023-05-28,08:42:00,1,Gateway Avenue,weekend
42,2023-05-28,08:42:00,1,Capella Hotel,weekend
43,2023-05-28,08:42:00,1,Ocean Drive,weekend
44,2023-05-28,08:43:00,1,Straits of Singapore,weekend
45,2023-05-28,08:43:00,1,Southern Islands,weekend
46,2023-05-28,08:44:00,1,Straits of Singapore,weekend
47,2023-05-28,08:45:00,1,Capella Hotel,weekend
48,2023-05-28,08:45:00,1,Sentosa Golf Club,weekend
49,2023-05-28,08:46:00,1,Capella Hotel,weekend
50,2023-05-28,08:58:00,1,Straits of Singapore,weekend
51,2023-05-28,08:59:00,1,Sentosa Gateway,weekend
